Line: 1  ||  Lexeme:  + ||  Token: operator
Line: 1  ||  Lexeme:  + ||  Token: operator
Line: 1  ||  Lexeme:  ; ||  Token: delimiter
Line: 1  ||  Lexeme:  >= ||  Token: operator
Line: 1  ||  Lexeme:  <= ||  Token: operator
Line: 1  ||  Lexeme:  : ||  Token: Error
Line: 1  ||  Lexeme:  = ||  Token: operator
Line: 1  ||  Lexeme:  <> ||  Token: operator
Line: 1  ||  Lexeme:  /* ||  Token: comment
Line: 1  ||  Lexeme:  */ ||  Token: comment
Line: 2  ||  Lexeme:  // ||  Token: comment
Line: 3  ||  Lexeme:  var ||  Token: identifier
Line: 3  ||  Lexeme:  32 ||  Token: constant
Line: 3  ||  Lexeme:  asg ||  Token: identifier
Line: 3  ||  Lexeme:  , ||  Token: delimiter
Line: 3  ||  Lexeme:  & ||  Token: Error
Line: 3  ||  Lexeme:  & ||  Token: Error
Line: 3  ||  Lexeme:  & ||  Token: Error
Line: 3  ||  Lexeme:  3 ||  Token: constant
Line: 3  ||  Lexeme:  sdf ||  Token: identifier
Line: 3  ||  Lexeme:  , ||  Token: delimiter
Line: 3  ||  Lexeme:  sdf123 ||  Token: identifier
Line: 3  ||  Lexeme:  : ||  Token: Error
Line: 3  ||  Lexeme:  integer ||  Token: identifier
Line: 3  ||  Lexeme:  ; ||  Token: delimiter
Line: 3  ||  Lexeme:  - ||  Token: operator
Line: 3  ||  Lexeme:  * ||  Token: operator
Line: 3  ||  Lexeme:  / ||  Token: operator
Line: 3  ||  Lexeme:  ; ||  Token: delimiter
Line: 3  ||  Lexeme:  , ||  Token: delimiter
Line: 4  ||  Lexeme:  a ||  Token: identifier
Line: 4  ||  Lexeme:  = ||  Token: operator
Line: 4  ||  Lexeme:  b ||  Token: identifier
Line: 4  ||  Lexeme:  + ||  Token: operator
Line: 4  ||  Lexeme:  c ||  Token: identifier
Line: 4  ||  Lexeme:  ; ||  Token: delimiter
Line: 4  ||  Lexeme:  a ||  Token: identifier
Line: 4  ||  Lexeme:  + ||  Token: operator
Line: 4  ||  Lexeme:  + ||  Token: operator
Line: 4  ||  Lexeme:  ; ||  Token: delimiter
Line: 4  ||  Lexeme:  a ||  Token: identifier
Line: 4  ||  Lexeme:  = ||  Token: operator
Line: 4  ||  Lexeme:  1234 ||  Token: constant
Line: 4  ||  Lexeme:  ; ||  Token: delimiter
Line: 4  ||  Lexeme:  >= ||  Token: operator
Line: 4  ||  Lexeme:  // ||  Token: comment
Line: 5  ||  Lexeme:  ; ||  Token: delimiter
Line: 5  ||  Lexeme:  , ||  Token: delimiter
Line: 5  ||  Lexeme:  /* ||  Token: comment
Line: 5  ||  Lexeme:  */ ||  Token: comment
Line: 5  ||  Lexeme:  ; ||  Token: delimiter
Line: 5  ||  Lexeme:  4 ||  Token: constant
Line: 5  ||  Lexeme:  ; ||  Token: delimiter
Line: 5  ||  Lexeme:  , ||  Token: delimiter
Line: 5  ||  Lexeme:  , ||  Token: delimiter
Line: 5  ||  Lexeme:  , ||  Token: delimiter
Line: 5  ||  Lexeme:  , ||  Token: delimiter
Line: 5  ||  Lexeme:  , ||  Token: delimiter
Line: 5  ||  Lexeme:  // ||  Token: comment
Line: 6  ||  Lexeme:  a ||  Token: identifier
Line: 6  ||  Lexeme:  = ||  Token: operator
Line: 6  ||  Lexeme:  b ||  Token: identifier
Line: 6  ||  Lexeme:  + ||  Token: operator
Line: 6  ||  Lexeme:  c ||  Token: identifier
Line: 6  ||  Lexeme:  ; ||  Token: delimiter
Line: 6  ||  Lexeme:  / ||  Token: operator
Line: 6  ||  Lexeme:  boolean ||  Token: identifier
Line: 6  ||  Lexeme:  mod ||  Token: identifier
Line: 6  ||  Lexeme:  ; ||  Token: delimiter
Line: 6  ||  Lexeme:  a ||  Token: identifier
Line: 6  ||  Lexeme:  div ||  Token: identifier
Line: 6  ||  Lexeme:  b ||  Token: identifier
Line: 6  ||  Lexeme:  a ||  Token: identifier
Line: 6  ||  Lexeme:  <> ||  Token: operator
Line: 6  ||  Lexeme:  b ||  Token: identifier
Line: 6  ||  Lexeme:  1234 ||  Token: constant
Line: 6  ||  Lexeme:  . ||  Token: Error
Line: 6  ||  Lexeme:  123 ||  Token: constant
Line: 6  ||  Lexeme:  sdfddsasdfsdf ||  Token: identifier
Line: 6  ||  Lexeme:  aaaaasdfsdfsdfsdfsad ||  Token: identifier
Line: 6  ||  Lexeme:  abc123a ||  Token: identifier
Line: 6  ||  Lexeme:  begin ||  Token: reserved word
Line: 7  ||  Lexeme:  /* ||  Token: comment
Line: 10  ||  Lexeme:  */ ||  Token: comment
